,,STAC__@beta=0,STAC__@beta=0.125,STAC__@beta=0.25,STAC__@beta=0.375,STAC__@beta=0.5
CartPoleSwingUp-v1-Deterministic,avg_scores,316.15775207170344,332.07860161983723,341.83389397157873,338.1648138657534,341.9853251085285
CartPoleSwingUp-v1-Deterministic,std_scores,164.52913389111794,153.20903630755802,145.77259828050992,142.73897443105702,142.33250051409843
CartPoleSwingUp-v1-Deterministic,last_score_iqm,447.7070065247347,447.8344298789395,448.18368208051095,447.78099050529426,447.9709659071653
CartPoleSwingUp-v1-Stochastic,avg_scores,323.24361862085664,332.7446024045674,343.9166654581935,335.3988180442934,342.0688554324732
CartPoleSwingUp-v1-Stochastic,std_scores,164.6339911708996,154.54813434329583,146.06305416158222,146.23630715407958,145.09130763118364
CartPoleSwingUp-v1-Stochastic,last_score_iqm,447.5649077222592,447.80857188563107,448.27828237224884,447.77136826052435,448.15293009124423
